q01_num_hijos,q02a_age_2nd_child_to_1st,q02b_age_3rd_child_to_1st,q02c_age_4th_child_to_1st,q03_help,q04_excedencia_all,q05_duration_child,q06_duration_child,q07_duration_child,q08_main_reason,q09a_secondary_reason,q09b_secondary_reason,q09c_secondary_reason,q09d_secondary_reason,q10_diff_reasons,q11_other_ask,q12_other_not_reason,q13a_conciliation_opts,q13b_conciliation_opts,q13c_conciliation_opts,q14_company_reaction,q15_mates_reaction,q16_formation_time,q17_work_during,q18_back_work,q19_tasks_after,q20_current_tasks,q21_excedencia_general_evaluation,q22_excedencia_needs_improvements,q23_excedencia_specify_improvements,q24_conciliation_general_evaluation,q25_conciliation_needs_improvements,q26_conciliation_specify_improvements,q27_experience_description,q28_comments,q29_genre,q31_civil_status,q32_education,q33_job,q34_contract
2,2,,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",no,1 mes y primer hijo ,De momento no procede,,otros: Lactancia materna de 6 meses,Quería dedicarme por completo a mi/s hijo/s,"Salud de la madre (posparto complicado, etc.)",NA,NA,No aplica ,no,No nos planteamos esa opción,Reducción de jornada,NA,NA,Indiferencia,Indiferencia,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Asumí tareas de mayor responsabilidad ,Es de mayor rango ,6,"Sí, creo que necesita alguna mejora.",Comunicación e información ,1,"Sí, creo que necesita alguna mejora.",Racionalización de horarios ,No hay nada mejor ni trabajo más gratificante ,Aproveche mi excedebcia para buscar otro trabajo mejor,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,3,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,"Llevo 5 años sin estar dada de alta en mi actividad, era autónoma ",,,Quería dedicarme por completo a mi/s hijo/s,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Era autónoma ,NA,NA,otros: No trabajaba para empresa,Indiferencia,"No, recurrí a una escuela infantil/cuidador/similar para tener tiempo",Realicé algún trabajo sin contrato,Emprendí mi propia actividad,otros: Cambie mi campo de trabajo,,7,"otros: Yo estoy contenta con mi decisión a nivel personal pero creo que habría que hacer muchos cambios en el marco legal, social y económico y facilitarnos desde alguna institución la toma de la decisión así como la incorporación al mercado laboral cuando se desee",Sueldo por dedicación familiar para empezar...,2,"Sí, creo que necesita alguna mejora.","Horarios razonables, cercanía de guarderia o cuidadores al puesto de trabajo, horas de descanso para lactancia...","Cambio de situación social y laboral
Satisfacción y frustración: dualidad constante",Siendo autónoma se trata de una heroicidad en la que sin el compromiso de la pareja seria algo imposible.,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo por cuenta propia,otros: No tengo
2,4,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,Sigo en excedencia,Sigo en excedencia,60,No tenía una opción real de adaptar la jornada a mis necesidades familiares ,No tenía una opción real de adaptar la jornada a mis necesidades familiares ,Quería dedicarme por completo a mi/s hijo/s,NA,NA,No,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,No facilita ninguna de estas opciones,Reducción de jornada,NA,Indiferencia,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,2,"Sí, creo que necesita alguna mejora.",Que te retributaran asta los 3 años del niño que empiezan el colegio infantil,1,"Sí, creo que necesita alguna mejora.",Bajar jornada laboral a 30 horas semanales y horario flexible,Es necesariamente teneiendo en cuenta que los dos cónyuges trabajen y si tu economía te lo permite,En este gobierno hay tantas cosas que cambiar que a lo mejor no hiciera falta excedencia,Mujer,Casado/a,Formación profesional ,Trabajo en el sector público,Indefinido
2,3,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",no,"4 meses, 2o hijo",,,Sentía que mi puesto de trabajo estaba asegurado,Quería dedicarme por completo a mi/s hijo/s,NA,NA,NA,,no,otros: Se le permitio teletrabajo,Flexibilidad de horario,Reducción de jornada,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Es de mayor rango ,7,"Sí, creo que necesita alguna mejora.","Excedencias mas duraderas, fomento del teletrabajo",4,"Sí, creo que necesita alguna mejora.","Racionalización de horarios, fomento del teletrabajo, prioridad de objetivos frente a presentismo","Necesaria, maravillosa, repetiria",,Hombre,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,5,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",no,1,0,,Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”),No tenía una opción real de adaptar la jornada a mis necesidades familiares ,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Cambió el tipo de jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,5,"Sí, creo que necesita alguna mejora.",Poder disponer de tiempo para formación y de ayudas para poder optar por el cuidado de los hijos.,2,"Sí, creo que necesita alguna mejora.","Ayudas económicas, mejores horarios, que las remuneraciones no se vean tan afectadas por las reducciones de jornada, mayor flexibilidad por parte de la empresa, etc.",Muy corta e intensa,,Mujer,Vivo en pareja,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Indefinido
2,4,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",no,6,,,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,NA,,no,No nos planteamos esa opción,Flexibilidad de horario,Reducción de jornada,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Es de mayor rango ,6,"Sí, creo que necesita alguna mejora.",Creo que podría establecerse algún tipo de salario mínimo para poder alargarla,4,"Sí, creo que necesita alguna mejora.","Horario flexible, posibilidad de teletrabajo, bolsa de horas asignad a los hijos para médicos, reuniones...","Maravillosa, irrepetible y vale la pena",,Mujer,Pareja de hecho,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,otros: Funcionario 
2,2,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",no,"1,5",,,Sentía que mi puesto de trabajo estaba asegurado,Quería dedicarme por completo a mi/s hijo/s,NA,NA,NA,,no,No nos planteamos esa opción,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,,6,"Sí, creo que necesita alguna mejora.",Excedencia remunerada hasta el año,3,"Sí, creo que necesita alguna mejora.",Jornadas intensivas ,"Tedioso, agotador, satisfactorio",,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,3,,,otros: Una abuela,no,"6 meses , el primero",,,Quería dedicarme por completo a mi/s hijo/s,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Cambió el tipo de jornada ,Realicé la misma actividad que antes de la excedencia ,No estoy trabajando actualmente,1,"Sí, creo que necesita alguna mejora.",Que sea un mínimo remunerada,1,"Sí, creo que necesita alguna mejora.",Horarios y ayudas económicas,Necesaria para ser padres responsables y comprometidos con sus hijos,,Mujer,Vivo en pareja,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,3,,,"No, no cuento con nadie más",no,6,,,Quería dedicarme por completo a mi/s hijo/s,No contaba con ayuda externa de familiares,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,7,"No, considero que funciona bien.",,4,"Sí, creo que necesita alguna mejora.",Compatibilidad horsrios,,,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,4,,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",si,2 meses para mi primer hijo,4 meses para mi segundo hijo,,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,NA,,no,otros: En su empresa no se lo permitían y no podíamos prescindir de ambos sueldos,Flexibilidad de horario,Reducción de jornada,Teletrabajo,Indiferencia,Indiferencia,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,7,"Sí, creo que necesita alguna mejora.",Más tiempo y alguna remuneración ,3,"Sí, creo que necesita alguna mejora.",Flexibilidad en todas las empresas y horarios más reducidos.,Hubiera cogido mas,,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,4,,,"No, no cuento con nadie más",no,12 (2),,,Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”),Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,,si,No aplica,Reducción de jornada,NA,NA,otros: Sorpresa ,otros: Sorpresa ,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Cambió el tipo de jornada ,Realicé la misma actividad que antes de la excedencia ,,4,"Sí, creo que necesita alguna mejora.",Excedencias remuneradas. Que se guarda el puesto de trabajo durante 3 años (no sólo en el primero),4,"Sí, creo que necesita alguna mejora.",Adecuar horarios. ,Inquietud por el puesto de trabajo. Alegría por estar con mis hijos y tristeza  al volver a incorporarme,,Hombre,Casado/a,Formación profesional ,Trabajo en el sector privado,Indefinido
2,2,,,"No, no cuento con nadie más",no,6 meses (segunda hija),,,Quería dedicarme por completo a mi/s hijo/s,No tenía una opción real de adaptar la jornada a mis necesidades familiares ,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Hostilidad,Hostilidad,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Cambió el tipo de jornada ,Realicé trabajos de menor responsabilidad ,otros: Terminé en esa empresa y cambié de empleo,1,"Sí, creo que necesita alguna mejora.","Remuneración
Comprensión
Adaptación
",1,"Sí, creo que necesita alguna mejora.","Cooperación social
Creación de redes
Cambio de paradigma
Cambio de mentalidad","Priorizar
Valorar la etapa de crianza
Crear vínculo y mayor apego",,Mujer,Separado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,3,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,12,0,,Quería dedicarme por completo a mi/s hijo/s,Quería dedicarme por completo a mi/s hijo/s,"Salud de la madre (posparto complicado, etc.)",Sentía que mi puesto de trabajo estaba asegurado,NA,,no,No nos planteamos esa opción,No facilita ninguna de estas opciones,NA,NA,Hostilidad,Hostilidad,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Salí del mercado laboral,Realicé la misma actividad que antes de la excedencia ,No estoy trabajando actualmente,1,"Sí, creo que necesita alguna mejora.",,1,"Sí, creo que necesita alguna mejora.",,Me despidieron a los tres meses de incorporarme,,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,3,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,1 año,1año,,Quería dedicarme por completo a mi/s hijo/s,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,,no,No nos planteamos esa opción,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,otros: No han pasado 3 años,5,"No, considero que funciona bien.",,1,"Sí, creo que necesita alguna mejora.","Bajas maternales mas largas, ayudas economicas para reduccion de jornada laboral, no represalias laborales por reduccion","De los mejores momentos de mi vida, el cuerpo y la mente me pedian estar  a todas horas con mis hijas",,Mujer,Casado/a,Formación profesional ,Trabajo en el sector público,Indefinido
2,1,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,12 1°,12 2°,,Sentía que mi puesto de trabajo estaba asegurado,Quería dedicarme por completo a mi/s hijo/s,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,,no,,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,otros: Me incorporo el próximo mes. Ademas de las 2 excedencias he solicitado 4 meses de permiso sin sueldo para poder pasar el verano y los periodos de adaptación ahora en septiembre con ellas.,otros: Por lo que sé voy a realizar un trabajo completamente diferente al que venía realizando el los últimos años. Diría que de menor responsabilidad,No estoy trabajando actualmente,5,"Sí, creo que necesita alguna mejora.",Que sean remuneradas como en algunos paises del norte de Europa. Que no te condicionen diciendo que a x meses de la excedencia ya no te mantienen tu puesto de trabajo y quedas a disposición de RRHH. Igualdad para ambos progenitor@s.,5,"Sí, creo que necesita alguna mejora.","Aumentar e igualar las bajas p/maternales, flexibilidad horaria, teletrabajo en caso de enfermedad de las crías...","Me siento privilegiada.
Agradezco cada día que he podido ser y estar con ellas.
Los cuidados deberían estar remunerados.",Diría que gracias a los sindicatos en mi empresa podemos disfrutar de este derecho sin miedo a la no reincorporación.,Mujer,Vivo en pareja,Estudios secundarios ,Trabajo en el sector privado,Indefinido
2,2,,,"No, no cuento con nadie más",si,11 1,Estoy en ella 2,,otros: Disfrutar de mi familia (hijos y esposa),"Igual que en el primer caso, la posibilidad de disfrutar de la familia ",NA,NA,NA,,no,No aplica,Flexibilidad de horario,Reducción de jornada,NA,Indiferencia,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,No estoy trabajando actualmente,6,"No, considero que funciona bien.",,5,"Sí, creo que necesita alguna mejora.","Es un problema educacional/social. El mundo actual (por lo menos en España) se basa en una prioridad absoluta a las obligaciones laborales ante las familiares personales. Los horarios de trabajo son totalmente incompatibles con el cuidado de hijos, de cónyuge, de amigos... ","1. Nos engañan. Desde pequeños nos engañan. Nos hacen creer que lo importante para ser feliz es conseguir un buen puesto de trabajo, dinero, reconocimiento... obviando lo más importante, ser feliz.
2. No hay nada más importante en la vida que VIVIR.
3. Es imposible ser feliz y vivir, si pasas más tiempo en el trabajo que con tu familia. ",,Hombre,Casado/a,Estudios secundarios ,Trabajo en el sector público,otros: Funcionario
2,4,,,"No, no cuento con nadie más",no,36,,,Quería dedicarme por completo a mi/s hijo/s,Quería dedicarme por completo a mi/s hijo/s,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Salí del mercado laboral,otros: no volví a trabajar,No estoy trabajando actualmente,1,"Sí, creo que necesita alguna mejora.",,1,"Sí, creo que necesita alguna mejora.",,Merece la pena ,,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,2,,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",no,Paro de 18 meses para 1er hijo Y 2 meses para 2o hijo,,,otros: Considero q no debería dejar a un bebé tan pequeño al cargo de otra persona ,No tenía una opción real de adaptar la jornada a mis necesidades familiares ,NA,NA,NA,,no,otros: Es autónomo y no existe esa posibilidad ,Flexibilidad de horario,Reducción de jornada,NA,otros: Intentaron hacerme cambiar de idea,Comprensión,otros: Con un lactante de 4 meses no hay tiempo para otra cosa,No,Cambió el tipo de jornada ,otros: Más carga de trabajo ,,2,"Sí, creo que necesita alguna mejora.","Como en otros países, la baja debería ser más larga y la excedencia pagada parcialmente (estado)",2,"Sí, creo que necesita alguna mejora.",La reducción de jornada debería obligar al empleador a contratar a alguien más para realizar el resto de tareas q no se pueden cubrir ,"Es imprescindible, es un derecho, se penaliza",,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),otros: 3er sector (ONG ),Indefinido
2,,,,"otros: Contamos con familiares (abuelos, sobrinos mayores,...), persona contratada,...",si,"Son mellizos así que pedí la excedencia para cuidar a los dos. En total estuve 18 semanas de baja por maternidad, un mes de vacaciones y 4 meses de excedencia, creo recordar.",Son mellizos,,Quería dedicarme por completo a mi/s hijo/s,"Salud de la madre (posparto complicado, etc.)",NA,NA,NA,,no,"otros: En ese momento se encontraba trabajando como autónomo y tenía flexibilidad, por lo que pudimos disfrutar los dos de todo ese tiempo con los niños",Flexibilidad de horario,Reducción de jornada,Trabajo por objetivos,Comprensión,Comprensión,otros: Era socia cooperativista así que estaba al tanto de cómo iba el trabajo y apoyé durante mi excedencia en lo que podía,otros: Realicé trabajos puntuales en la cooperativa como he explicado antes,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,"otros: Cerramos la cooperativa a los dos años, luego estuve otros dos trabajando como freelance y ahora llevo menos de un año en otra organización. El trabajo es similar pero la estructura es muy diferente aunque la flexibilidad de horario que hay me permite compatibilizar la vida laboral y personal",5,"Sí, creo que necesita alguna mejora.","Teniendo en cuenta que la baja por maternidad tiene que ser de más tiempo, con respecto a la excedencia, creo que sería interesante poder hacer una incorporación gradual (por ejemplo trabajar sólo unas horas a la semana o un día a la semana) y fomentar el teletrabajo.",5,"Sí, creo que necesita alguna mejora.","Para mí es clave, trabajar por objetivos, tener flexibilidad horaria y fomentar el teletrabajo",Corta. Me hubiese encantado tener más excedencia si hubiese podido soportarlo económicamente. ,"Es importante tener en cuenta que la excedencia es positiva a nivel personal pero supone mucho tiempo desconectada del mundo laboral. Yo estuve más o menos 1 año dedicada a mis hijos entre baja, vacaciones y excedencia. Y más o menos me llevó otro año estar a pleno rendimiento en mi trabajo. Por eso creo que es muy importante mantener algún tipo de contacto profesional con la empresa o a nivel formativo durante el tiempo de excedencia",Mujer,Vivo en pareja,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Temporal
2,4,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",no,Para mi primera hija me tome una excedencia de varios meses en la lista de interinos por la que trabajaba,No,No,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,NA,NA,NA,NA,No,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Me daban una hora para la lactancia,No facilita ninguna de estas opciones,NA,Indiferencia,Indiferencia,"Sí, compaginé el cuidado del hijo con formación / actividades para estar al día en mi profesión.",No,otros: Justo cuando quise reincorporarme comenzo la crisis y me costo 8 años volver a trabajar en mi profesion,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,1,"Sí, creo que necesita alguna mejora.",Desde que me pasó a mi creo q han cambiado el sistema,3,"Sí, creo que necesita alguna mejora.",Los interinos tenemos menos opciones que los fijos,"Si no la hubiera cogido no hubiera podido optar a la lactancia materna, pero quizas hubiera trabajado todos estos años",Para los interinos de educación es largo y muy caotico el proceso porque ni ellos saben lo que debemos hacer y como,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Temporal
2,4,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,10 meses (1r hijo) ,10 meses (2o hijo),,Quería dedicarme por completo a mi/s hijo/s,NA,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Indiferencia,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,5,"Sí, creo que necesita alguna mejora.",,5,"Sí, creo que necesita alguna mejora.",Mayor flexibilitat horaria,Buena,,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,2,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,7,8,,Quería dedicarme por completo a mi/s hijo/s,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,No tenía una opción real de adaptar la jornada a mis necesidades familiares ,NA,NA,,no,otros: Solicitó una reducción de jornada ,No facilita ninguna de estas opciones,NA,NA,Indiferencia,Hostilidad,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,otros: En la primera excedencia volví a otro puesto de trabajo. Durante la segunda me despidieron ,Asumí tareas de mayor responsabilidad ,,7,otros: Consideró que está poco valorado por la sociedad y habría que ensalzar los valores que representa  ,Ponerlo en valor ,5,"Sí, creo que necesita alguna mejora.","Conciliación real sobre el terreno, no sólo en el papel. Las empresas suelen aprovecharlo para valorar la fidelidad a la empresa y suelen ser las primeras personas que salen en los despidos ",Creo que es necesario para crear vínculos estables con nuestrxs hijxs y criarlos durante su primera etapa. Pero nos queda un largo camino por demostrar a la sociedad que es necesario y que la incorporación a un puesto de trabajo es real y con ls mismas capacidades ,Creo que os habéis olvidado de preguntar sobre despidos o cambios de funciones tras la excedencias y es una situación real a la que nos enfrentamos muchas personas que la hemos solicitado ,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),otros: Trabajaba en el sector privado. Actualmente estoy desempleada ,otros: Desempleada 
2,9,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",no,8,,,Quería dedicarme por completo a mi/s hijo/s,Económico (“me salía más a cuenta cuidar yo mismo al niño que pagar a alguien para que lo hiciera”),Sentía que mi puesto de trabajo estaba asegurado,NA,NA,,no,No nos planteamos esa opción,Flexibilidad de horario,Reducción de jornada,NA,Comprensión,Indiferencia,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Cambió el tipo de jornada ,Realicé trabajos de menor responsabilidad ,,6,"Sí, creo que necesita alguna mejora.",Poder realizar alguna tarea remunerada desde casa,6,"No, considero que funciona bien.",,Merece mucho la pena,Creo que las madres y las crías necesitamos al menos 1 año para estar juntos y no hacer nada mas,Mujer,Casado/a,Estudios secundarios ,Trabajo en el sector público,Indefinido
2,2,,,"No, no cuento con nadie más",si,2 meses (primer hijo),6 meses (segunda hija),,Sentía que mi puesto de trabajo estaba asegurado,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,No contaba con ayuda externa de familiares,No tenía una opción real de adaptar la jornada a mis necesidades familiares ,Sentía que mi puesto de trabajo estaba asegurado,,no,No nos planteamos esa opción,Flexibilidad de horario,Reducción de jornada,Trabajo por objetivos,Comprensión,Indiferencia,"No, recurrí a una escuela infantil/cuidador/similar para tener tiempo",No,Volví al mismo puesto con la misma jornada ,Realicé la misma actividad que antes de la excedencia ,No estoy trabajando actualmente,6,"Sí, creo que necesita alguna mejora.",Mismas oportunidades para todos los puestos laborales y para ambos progenitores. Aumento del tiempo de permiso en ambos casos,6,"Sí, creo que necesita alguna mejora.",flexibilidad horaria,Desasosiego (no cumplir con los roles esperados de madre y trabajadora porque son incompatibles). Desconexión (al margen de la vida anterior cuando te dedicas a los cuidados). ,,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Indefinido
2,2,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,7,4,,Sentía que mi puesto de trabajo estaba asegurado,Quería dedicarme por completo a mi/s hijo/s,NA,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,otros: resignación,Comprensión,"Sí, compaginé el cuidado del hijo con formación / actividades para estar al día en mi profesión.",No,Cambió el tipo de jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,6,"No, considero que funciona bien.",,2,"Sí, creo que necesita alguna mejora.","Mayor duración de baja maternidad/paternidad
Flexibilidad horaria
Prioridad en cambio de turnos
",Es una solución que el estado pone a nuestra disposición ante la carencia de otros medios que serían más justos y consecuentes con las promesas de conciliación,,Mujer,Casado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector público,Indefinido
2,6,,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",si,1 mes en ambos casos,Un mes,,Mi puesto de trabajo no permitía la conciliación con la vida familiar ,No contaba con ayuda externa de familiares,Sentía que mi puesto de trabajo estaba asegurado,NA,NA,,no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Cambió el tipo de jornada ,Realicé trabajos de menor responsabilidad ,,7,"No, considero que funciona bien.",,2,"Sí, creo que necesita alguna mejora.",,,,Mujer,Pareja de hecho,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
2,5,,,"Sí, una persona contratada nos ayuda a cuidar del hijo/s",no,Seis meses para la mayor,,,No tenía una opción real de adaptar la jornada a mis necesidades familiares ,No tenía una opción real de adaptar la jornada a mis necesidades familiares ,NA,NA,NA,,no,No aplica,No facilita ninguna de estas opciones,NA,NA,Indiferencia,Indiferencia,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Cambié de puesto,Asumí tareas de mayor responsabilidad ,Es de mayor rango ,4,"Sí, creo que necesita alguna mejora.",Según cada caso,2,"Sí, creo que necesita alguna mejora.",Muuuuchas,No información ,No,Mujer,Casado/a,Estudios secundarios ,Trabajo en el sector privado,Temporal
2,6,,,"Sí, los abuelos u otros familiares participan en el cuidado de los hijo/s",si,4meses,4 años,,Quería dedicarme por completo a mi/s hijo/s,Quería dedicarme por completo a mi/s hijo/s,NA,NA,NA,"Pornerme en la piel de mis hijas, mi presencia, amor y contacto, les aportaría la mejor herencia, autoestima, seguridad en ella y el la  vida ",no,Decidimos que era mejor que la tomara solo yo por una cuestión económica,No facilita ninguna de estas opciones,NA,NA,Hostilidad,Hostilidad,"Sí, compaginé el cuidado del hijo con formación / actividades para estar al día en mi profesión.","Sí, por cuenta propia",Emprendí mi propia actividad,Realicé trabajos de menor responsabilidad ,,1,"Sí, creo que necesita alguna mejora.","La excedencia, acompañada de una subvención o (dinero del paro) con la seguridad de volver a trabajar y tener prioridad en la media jornada ",2,"Sí, creo que necesita alguna mejora.",Que estén unidas a una subvención económica ,Mi vida cambió y tuve que rehacer mi planteamiento de trabajo,,Mujer,Casado/a,Estudios secundarios ,Trabajo por cuenta propia,otros: Autónomo 
2,4,,,"No, no cuento con nadie más",si,1mes,2meses,,Quería dedicarme por completo a mi/s hijo/s,Quería dedicarme por completo a mi/s hijo/s,NA,NA,NA,,no,No nos planteamos esa opción,Reducción de jornada,NA,NA,Comprensión,Comprensión,"Ni me lo planteé,  me centré en cuidar a mi/s hijo/s",No,Cambió el tipo de jornada ,Realicé la misma actividad que antes de la excedencia ,Estoy en el mismo puesto o en otro similar,4,"Sí, creo que necesita alguna mejora.",Q fuera retribuida hasta que el menor tuviera edad escolar,3,"Sí, creo que necesita alguna mejora.",Conciliar horarios de trabajo cob horarios escolares,"Gratificante, dulce y corto",,Mujer,Separado/a,Estudios superiores (diplomatura/licenciatura/ingenieria),Trabajo en el sector privado,Indefinido
